sample	pe	se	n_reads	main_lib	add_lib	n_clean	clean_paired	clean_single	qc_orphans	dc_orphans	n_aln	pri_aln	sec_aln	pe_aln	se_aln
zr5240_74	True	False	33174180	33174180	0	27163277	24146954	3016323	3014979	1344	42057354	25876271	16181083	23122272	2753999
zr5240_75	True	False	26224308	26224308	0	21677374	19275476	2401898	2400860	1038	40446137	21445629	19000508	19065636	2379993
zr5240_76	True	False	38785634	38785634	0	32977767	29936568	3041199	3041051	148	56257205	31389616	24867589	28566128	2823488
zr5240_77	True	False	27870796	27870796	0	23491275	21104170	2387105	2386924	181	45881265	23295475	22585790	20921382	2374093
zr5240_78	True	False	27951224	27951224	0	23470833	21125436	2345397	2344967	430	41967015	23064842	18902173	20768944	2295898
zr5240_79	True	False	38402958	38402958	0	31507519	27661968	3845551	3845214	337	57037577	30803015	26234562	27104066	3698949
zr5240_8	True	False	32228570	32228570	0	27110651	24883668	2226983	2223640	3343	45510344	26718024	18792320	24534010	2184014
zr5240_80	True	False	36535498	36535498	0	30477934	27563160	2914774	2914395	379	55407834	30041222	25366612	27165480	2875742
zr5240_81	True	False	30614224	30614224	0	24915514	22023760	2891754	2891624	130	46004384	24700805	21303579	21842560	2858245
zr5240_82	True	False	34426156	34426156	0	28466664	25296602	3170062	3168945	1117	51312950	28193480	23119470	25057318	3136162
zr5240_83	True	False	28258304	28258304	0	23713355	21515544	2197811	2197611	200	41542082	23425107	18116975	21267066	2158041
zr5240_84	True	False	39070036	39070036	0	32849083	29524856	3324227	0	51	64139794	32617313	31522481	29300228	3317085
zr5240_85	True	False	39667578	39667578	0	33456463	30406984	3049479	0	1758	61483340	33175880	28307460	30139308	3036572
zr5240_86	True	False	29147646	29147646	0	23880817	21399862	2480955	0	949	39919307	23275028	16644279	20898136	2376892
zr5240_87	True	False	30013200	30013200	0	25291271	22938046	2353225	2352498	727	37443821	23869403	13574418	21868480	2000923
zr5240_88	True	False	39929340	39929340	0	34556620	31725514	2831106	2830985	121	60337807	34165923	26171884	31385602	2780321
zr5240_89	True	False	24939322	24939322	0	20866819	18752910	2113909	2113880	29	40010729	20761979	19248750	18644898	2117081
zr5240_9	True	False	40084920	40084920	0	32644238	28894816	3749422	3748513	909	53303428	31649055	21654373	28058184	3590871
zr5240_90	True	False	24805846	24805846	0	20232028	17922244	2309784	2309575	209	37024311	19811729	17212582	17569230	2242499
zr5240_91	True	False	25717162	25717162	0	21814320	19813702	2000618	2000507	111	39991065	21669298	18321767	19671962	1997336
zr5240_92	True	False	21268516	21268516	0	17449727	15547168	1902559	1902258	301	33135106	17270835	15864271	15382100	1888735
zr5240_93	True	False	27267624	27267624	0	22382295	19909190	2473105	2472113	992	39586364	22194156	17392208	19731816	2462340
zr5240_94	True	False	38578620	38578620	0	32453405	29299158	3154247	3154132	115	63071335	32237471	30833864	29080406	3157065
zr5240_95	True	False	31156682	31156682	0	25674126	22876710	2797416	2797383	33	48722734	25530260	23192474	22748906	2781354
zr5240_96	True	False	30675768	30675768	0	25825996	23398790	2427206	2426212	994	47975693	25635422	22340271	23211910	2423512
zr5240_97	True	False	41120970	41120970	0	32695072	28296230	4398842	4398786	56	65268173	32359659	32908514	28028668	4330991
zr5240_98	True	False	43146174	43146174	0	36337259	32987098	3350161	3349892	269	69190746	36159708	33031038	32814734	3344974
zr5240_99	True	False	32941480	32941480	0	24338066	21079932	3258134	3257947	187	46559210	24209574	22349636	20979310	3230264
